날짜,제목
2021.01.06,코인 순위 참고하세요. 이외 잡코인 쳐다보지 마세요
2021.01.06,언제 그랬냐 비웃듯 다시 원상태로 복구 되었네요
2021.01.06,비트가 복구력이 상당하네요
2021.01.05,지금 마진거래소등 각종 퍼드로 하락장 운운하는데
2021.01.05,간밤에 맘졸여 잠 못 주무시는분들께
2021.01.04,지금 손절은 의미 없으니 쳐다보지 마시고 그냥 무...
2021.01.04,긴 연휴 잘 보내셨는지요?
2021.01.03,장투로 고생분들 축하드립니다
2021.01.03,비트가 잠시 숨고르기 들어갔으니 점심 먹고 알트...
2021.01.02,신축년 새해 황소처럼 달려라
2020.12.31,올한해 다들 고생하셨어요
2020.12.29,여유 자금 있으신분은 이번조정에 매수해도 괜찮을듯
2020.12.29,올 년말 기쁨을 주고 마감할지
2020.12.27,알트시즌에 대한 견해~~
2020.12.27,또 언론이 떠들고 난리네요.
2020.12.25,메리 크리스마스 즐거운 성탄 보내세요.
2020.12.22,다들 많이 놀라신거 같네요.
2020.12.20,다 들 즐거운 주말 보내시고 계신가요?
2020.12.17,희망적인 분위기가 도래하니 게시판도 좋은 이야기 ...
2020.12.16,"(장기적으로) 비트, 리플은 계속 상승 할 수 밖에 ..."
2020.12.15,머니넷 공식 장애우 부커를 모르시는 분들을 위한 자료
2020.12.12,다들 불안 해 하시는거 같아 몇마디 드릴까 합니다
2020.12.11,리플 가격 예상 (ex 이더리움) 마진 비율 배팅
2020.12.09,안녕하세요.
2020.12.04,다들 급등장 급락장만 보다가 횡보하니 지루하시죠
2020.12.01,주말은 잘보내셨는지요?
2020.11.27,다들 걱정이 많으신거 같아 몇자 적어 봅니다.
2020.11.24,요즘 자주 글을 쓰게 되네요.
2020.11.23,여러분도 하실수 있어요
2020.11.23,지난 주말사이 많은일이 일어났네요.
2020.11.21,날씨는 많이 쌀쌀한데 비트는 후끈하죠?
2020.11.18,잘들 지내시는지요?
2020.11.05,다들 기쁘시죠?
2020.11.03,안녕하세요. 며칠 하락한다고 다들 난리네요.
2020.11.01,국밥먹고 한줄 써본다 암호화폐의 미래
2020.10.28,비트는 차질없이 순항하고 있네요.
2020.10.25,날씨도 좋고 비트도 씩씩하게 잘 나가네요
2020.10.21,역사는 반복된다. 이 말이 맞는거 같아요
2020.10.20,다들 고민할 시점이 다가오고 있네요
2020.10.19,머니넷 회원님들께
2020.10.17,남의 부모님 욕하는 인간의 최후는? 그러다 진짜 죽...
2020.10.14,어이
2020.10.13,다들 흐믓해 하실거 생각하니 기분이 좋네요.
2020.10.12,즐거운 연휴 보냈으리라 봅니다
2020.10.10,모처럼 즐거운 시간 보내실 분들에게
2020.10.09,안녕하세요. 다들 잘 지내시는지?
2020.10.06,연휴 다행히 상승 흐름이 나오네요.
2020.10.05,킹부커
2020.10.04,마지막 연휴 마무리 잘하셨는지?
2020.10.03,나도 아가리질좀 해봐야겠다
2020.10.02,뜻밖의 사태에 당황하셨죠?
2020.09.28,사실만 놓고 보면 그렇습니다.
2020.09.18,연속 적중! 실력 인증 합니다
2020.09.07,부커 근황
2020.09.06,비트코인 cme갭 알려드려요
2020.08.26,국민들이 의사 파업에 동의하기 힘든이유
2020.08.22,머니넷 네임드 정리
2020.08.17,머니넷 관리자 분께.
2020.08.08,비트코인 단기 예상
2020.08.07,형들 고마워
2020.08.07,형들 나 사토시
2020.08.04,게시판에 물의를 일으켜 죄송합니다.
2020.08.03,어.. 나도 아닌데?
2020.08.01,1인2역 자칭 양방향 트레이더 아수라백작
2020.07.31,부고 소식
2020.07.31,제발 좀 개념은 가지고 얘기합시다
2020.07.27,우리나라 경제가 더 안좋아지는 이유
2020.07.22,가상화폐 과세 될 시기 정도면
2020.06.24,증세정책을 그렇게 욕하더니
2020.06.22,문재앙 쓰레기놈
2020.06.13,[1편] 거래소 직원이 보는 코인시장 (펌)
2020.06.10,진정한 스캠은 문재앙이다.
2020.06.04,지금 현재 상황 정리
2020.05.25,위안부 할머니 한분이 토착왜구가 되셨습니다 ㅋㅋㅋ
2020.05.17,한국을 제일 깔보는 나라
2020.05.15,5월 15일 비트코인 분석
2020.05.14,5월 14일 비트코인
2020.05.10,왜 이렇게 이번 정부 가지고 싸우지..
2020.05.09,당신이 오늘 당장 비트코인을 팔아야하는 이유(펌)
2020.05.09,나 정치글 올리고 감옥 갔다올께
2020.05.08,과거 반감기는 어땠을까
2020.05.07,고점과 저점을 높혀가는 과매수 영역의 시장
2020.05.06,감사합니다.
2020.05.04,죄송합니다
2020.04.29,지금 해야될 일
2020.04.27,정의는 승리한다
2020.04.22,여러분 공중변소 라고 생각하고 이용해주세요
2020.04.20,모두에게 사랑받게 더 열심히 활동하겠다.. 오케이??
2020.04.16,민주당 압승
2020.04.15,모두들 투표하고 코인질 하자.. 오케이?
2020.04.13,먼저 떠나는 한 코인러의 마지막 인사말..
2020.04.13,오케이 드립 진짜 개노잼이네 그만해라
2020.04.08,저녁 브리핑
2020.04.07,저녁 브리핑
2020.04.07,최근 장으로 비트 120개 달성
2020.04.07,(인생꿀팁) 야들아 코인도 좋지만 청약들해라
2020.04.04,킹부커와 $욱 동일 인물로 생각하는지에 대한 투표!!
2020.04.02,점심 브리핑
2020.04.02,모닝 브리핑
2020.03.25,내가 하는 거래방법
2020.03.23,미증시 폭락과 비트코인 수백억 시나리오...
2020.03.21,법정화폐를 버려야 하는 이유
2020.03.19,비트코인 달러 교환 용도로 사용 가능성
2020.03.17,장펑자오가 말하는 비트코인 0원되는날
2020.03.16,앞으로의 2020년 모습
2020.03.16,비트코인 바닥은 어디일까? 차트분석 (장문주의)
2020.03.14,이 글을 본 당신은
2020.03.14,예언가 비트동향 브리핑 7k기준
2020.03.13,자랑스러운 대한민국
2020.03.12,역대 하락장 조정장 비교 (펌)
2020.03.11,"음모론 역사상 최고의 거품경제 , 그리고 비트코인"
2020.03.11,렙틸 활동 안하는거보니
2020.03.09,마스크마저 짜고치는 개라석들
2020.03.08,반감기 빅뱅 터질 가능성
2020.03.06,한국은 코로나 사실상 전국이 간염된듯
2020.03.06,이런 버러지 같은놈들을 친구라며..
2020.03.05,좀 섭섭하네
2020.03.05,우리 모두 기생충이 되었다.
2020.03.04,세계 경제가 진짜 ㅈ된게
2020.03.03,"다우, 나스닥, S&P500, 비트코인 모두 같은 움직임"
2020.03.03,거래소에서 전화오면 무조건 출금부터해라
2020.03.03,"업비트 가두리, 프리미엄 정리."
2020.03.02,코인이 2억에서 2천될 때 내 곁을 지켜준 여자친구.
2020.03.02,"""코로나 불황, 금융위기로 번질 수 있다""..."
2020.03.02,시총 100위권+@ 대충 개인평(지극히 개인적) 1편 (펌)
2020.03.02,필독) 문슬람 댓글공작 저격
2020.03.02,문재인 대통령님의 탄핵을 막아야 합니다
2020.03.01,차이나게이트 실체 드러나죠~
2020.03.01,정치글 쓰지말라는 인간들 특징
2020.02.29,정치글좀 쓰지말라고요
2020.02.29,방역도 입으로만 한것인가??
2020.02.29,[안혜리의 시선] 나라 전체가 세월호다
2020.02.28,와 머니넷에도 조선족이 많았나보네
2020.02.28,리플은 2026년부터 시작이다 지루하지만 참고 존버...
2020.02.28,지금이 비트 상승세인이유 (마지막으로 언급하고 이...
2020.02.28,지루한 글 2탄: 장기 투자가 아니라 노름하러 온 사...
2020.02.26,베스트게시판이 이게 뭡니까
2020.02.26,테조스 홍보까지는 바줄만했다
2020.02.26,문재인 대통령의 탄핵 청원 게시판입니다.
2020.02.26,"쓸데없지만 단기파동(비트코인, 비캐)"
2020.02.26,허허허 여러분 그동안 즐거웠습다 촵촵촵
2020.02.25,문제인 탄핵되나요
2020.02.25,트뷰]이제 600일동안 불장온다.
2020.02.24,중국. 한국인 입국시 격리 ㅋㅋ
2020.02.24,비캐 및 비트코인 반감기 개인 시나리오
2020.02.24,비트코인 반감기. 가격과 해시레이트
2020.02.23,대게문시바새끼
2020.02.23,알트코인 투자 주의사항
2020.02.23,운영자한테 상담받았다. 정치얘기 경고없이 정지시...
2020.02.23,렙틸 및 신천지 환자 탈퇴시켜야 하는거 아님?
2020.02.22,렙틸 신천지같다. 조심하자.
2020.02.22,신천지를 희생량으로 이용하는거 같아 보인는데..ㅋㅋ
2020.02.22,앙이와 앙슬람들이 정상이 아닌 EU.
2020.02.22,대만짱게한테 역관광 당한거 개웃기네 ㅋㅋㅋㅋ
2020.02.20,신고가 접수되어 임시 블라인드 처리가 되었습니다.
2020.02.17,나 스스로 그 동안 너무 고생많았다. 좀 쉬련다 이...
2020.02.15,이더리움 40만원 접근중
2020.02.13,혼란을 예고한 암호화폐 세금부과 그 대안은?
2020.02.12,"월가의 등장, 2020년 암호화폐 시장이 심상찮다"
2020.02.11,비트코인이 1만불을 넘긴 힘
2020.02.10,"[단독,최초공개]나카모토 사토시 정체에대해 알려준다."
2020.02.09,요새같은 불장에 대처하는 방법 (Feat 펌)
2020.02.06,문재인 선거개입 논란
2020.02.06,공유) 경주마 찾는법
2020.02.05,암호화폐 대상승 시작된다. (마법의 법칙)
2020.02.04,문재인이 이제와서 이런말하는 이유가 뭐냐?
2020.02.03,웬만하면......
2020.02.03,핫산)비트코인 시작하는 만화 ~4
2020.02.02,2012년 부터 본 비트코인 가격
2020.02.02,"찰스, 에이다 가격 폭락하겠지만 기술력은 최고수준..."
2020.02.02,자유한국당이 잡으면 비트코인 김프 40프로 다시볼...
2020.02.01,앙이와 앙슬람들의 가짜뉴스 살포때문에 나라가 망한다
2020.02.01,foo 방치 이유가 궁금 합니다
2020.01.31,문재인 대통령님 사랑합니다
2020.01.31,2차감염 절대 없다더니 바로 2차감염자 발생 ㅋㅋ
2020.01.31,[Reptilian] 리플 20만원 공책에 10번 씁니다. 오케이?
2020.01.24,대꺠문의 반댓말
2020.01.23,문재인 지지자가 쓴 글
2020.01.22,★헌법재판소 위헌 결정 나버리면★
2020.01.21,문재인 관련 네이버 뉴스에 머니넷 등장 ㅋㅋ
2020.01.21,비트코인 캐시에 주목할 때.
2020.01.20,"가상화폐 손해봐도 세금 , 정부방침 논란"
2020.01.20,세금 미쳤누 ㅋㅋ
2020.01.19,3차와 4차를 이해하는데는 급이 다른다.
2020.01.17,신고가 접수되어 임시 블라인드 처리가 되었습니다.
2020.01.16,코인관련 매우매우 중요한 뉴스
2020.01.15,SV가 이끈 상승장. 해시는 어떨까.
2020.01.14,비트가 오르는 이유라 생각되는 것들
2020.01.08,투표하겠 읍니다.
2020.01.07,지금장은 무조건 타면 번다
2019.12.30,나는 정치색이 딱 중간입장이긴한데 문정부가 못하...
2019.12.17,2014 ~2016년
2019.12.15,이미 정상적인 시장이 아님
2019.12.04,검찰 청와대 비서실 압수수색
2019.11.25,내가 보는 현재의 BTC 매수시점 정확하게 팩트전달.
2019.11.21,[종합] 특금법 소위 통과 “4대 거래소 외 실명계좌...
2019.11.18,펌글) 세계경제위기와 암호화폐의 미래는?
2019.11.13,비트코인으로 7억벌었습니다. 내일 수능 포기합니다
2019.11.12,삼성이 암호화폐중에서 트론을 왜 선택했을까?
2019.11.05,과거 리플 스웰 전후 가격변동
2019.11.02,[속보] 중국 가상화폐거래소 승인됐다!!!!!
2019.10.28,신고가 접수되어 임시 블라인드 처리가 되었습니다.
2019.10.27,대깨문 해골들 갑자기 설치기 시작하는게
2019.10.26,가상화폐와 중국정부
2019.10.26,언어순화가 필요한것 같아요
2019.10.25,'조국 수사팀'이 직접 유시민 수사 나섰다
2019.10.25,신고가 접수되어 임시 블라인드 처리가 되었습니다.
2019.10.24,신고가 접수되어 임시 블라인드 처리가 되었습니다.
2019.10.21,님들 혈세 여기로 다 빠지는중ㅋㅋㅋ
2019.10.19,촉이왔다 형이장담한다
2019.10.15,역사는 반복된다 비트로 돈벌고 싶으면 클릭
2019.10.08,전고점 돌파까지 1년정도 남았습니다
2019.10.07,신고가 접수되어 임시 블라인드 처리가 되었습니다.
2019.10.06,"비트코인,아마존,마이크로소프트 차트비교 (희망)"
2019.10.01,10월1일 BTC 브리핑
2019.09.28,벡트 런칭했는데 3k ????
2019.09.25,비트코인 2017년과 매우 유사한 패턴
2019.09.18,현재의 비트 상태
2019.09.17,돈은 이렇게 쓰는거야 ㅋㅋ
2019.09.14,가상화폐 하락 정부탓 하지말라는 빡대갈들이 싫어...
2019.09.11,분기별로 나눈 비트코인 상승시점
2019.09.10,지금 네이버 실검 1위. ㅋㅋㅋ
2019.09.08,2019연말~2020년 중순까지 하루에 50%이상 상승할수...
2019.09.03,조국 “사모펀드 뭔지 몰랐다…5촌 조카 얘기듣고 맡...
2019.09.02,너무 힘들어들 하지마세요 웃으세요
2019.08.28,거시적관점에서 글 하나 올립니다. (퍼옴)
2019.08.27,와이즈 레이팅(Weiss Ratings) : 비트코인보다 기술...
2019.08.26,요즘 레딧에 돌고 있는 비트코인 떡락 시나리오.
2019.08.26,내년이 비트가 상승하기 너무 좋은 시기인 이유
2019.08.26,이제는 정말 얼마 남지 않았다. (펌)
2019.08.23,비트코인은 사기 도박판이라고 개소리할때 부터 알...
2019.08.23,마진을 접을까 합니다
2019.08.23,보조지표 CCI 에 대하여 ARABOZI?
2019.08.23,쌍봉낙타 다시 출현! 폭락의 징조일까
2019.08.22,해외 비트코인 차트분석가 차트 번역
2019.08.21,코인과는 상관없긴한데 너무 공감되서그만..가져옴
2019.08.21,서울대 출신 여의도 금융인이 바라본 한국경제 전망
2019.08.19,전업 암호화폐 트레이더가 꿈이시라구요?
2019.08.19,"사토시 나카모토, 비트코인 개발 배경 밝혔다.. 3단..."
2019.08.17,자신이 비트보다 알트를 한다면?매매의 기준잡기.펌
2019.08.15,문정부 실세들 ‘가상화폐 고점에서 팔아 떼돈 번 이...
2019.08.15,가상화폐가 상승할수 밖에 없는 이유
2019.08.14,이번 비트코인 하락이 상당히 의도적인 이유
2019.08.13,+ 추가 숏 하락관점 프랙탈 부분입니다.
2019.08.12,"펌] 스압, 요약있음) 일본 경제상황 관련해서"
2019.08.11,비트코인에 대한 잡다한 팁공유
2019.08.10,아파트 현관문 속도조절 하는방법
2019.08.09,2년반동안의 비트 정리.. (펌)
2019.08.08,솔직히 하루하루가 너무 힘들다
2019.08.08,"$11,500 받고 사선 대상승 예상"
2019.08.06,서울대아재가 말해주는 한국경제 둔화이유
2019.08.05,경제가 안좋아도 서민은 거기서 거기
2019.08.04,"리플, 이더 대비 주봉"
2019.08.04,리플 굳이 월 10억개인 이유
2019.08.03,무서운 10대들 jpg.
2019.08.03,여기는 청정지역이다
2019.08.02,문득문득
2019.08.02,한국에서 발빼는 일본 기업들 - 실업률 증가 가속화
2019.08.01,[차트공부] 피보나치선과 되돌림 비율은 무엇일까?
2019.08.01,리플이 거진 3개월동안 안오른 이유가 있었네
2019.08.01,4월 1일 만우절 전후랑 굉장히 비슷한 움직임이 포...
2019.07.30,길게 보는 안목을 갖자.
2019.07.30,신고가 접수되어 임시 블라인드 처리가 되었습니다.
2019.07.28,"美 최고 보수 씽크탱크 ""암호화폐 금지? 자동..."
2019.07.25,유투버 보람튜브 때문에 박탈감을...국민청원
2019.07.25,영화 베테랑이 엄청난 현실고증영화였음..;;
2019.07.24,저스틴선 샌프란시스코에 있다 퍼드에 속지마라
2019.07.23,앞으로의 코인시장 가격방향 알려줘??
2019.07.23,마진이 위험한 이유
2019.07.22,무역전쟁의 배경
2019.07.22,이번주 좀 정신없고 다이내믹한 한주가 될듯
2019.07.21,현재 상승추세 맞다고봄
2019.07.20,현재 비트 어센딩 수렴. 상승 예상해봅니다
2019.07.20,"美 기술전략가 ""비트코인 2만달러 갈 것…8천달..."
2019.07.19,비트코인 주말 상승각 나왔습니다 (이유)
2019.07.19,국가별 점유율로 본 비트코인 분석
2019.07.19,렙띨아~
2019.07.19,달러의 대체자는 비트코인
2019.07.19,렙틸리언 정치글 그만 올리고 리플 샀으면 리플 관...
2019.07.19,바이낸스 비트 허매도 미쳤다
2019.07.19,제발 부탁인데....
2019.07.18,"개미들이 항상 돈을 잃는 이유, 이것만 알아도 수익..."
2019.07.18,결국 최종구는 이런 인간이였음
2019.07.18,오늘밤 비트 1만달러 가능한 이유 (꽃받침패턴 떴다!)
2019.07.18,뭐든지 쌍봉이뜨면 대피하는게 상책!
2019.07.18,다음중 '직장내 괴롭힘'에 해당하는 것은?
2019.07.16,시장을 크게 보는 안목을 가져
2019.07.16,한번도 경험해보지 못한 최근 결과
2019.07.16,[비트] 16일 오전 07:00~30분대 도달 예정 금액
2019.07.15,일제강점기 전처럼 한국을 침략하려는 야욕
2019.07.15,코인과는 관계 없지만 좋은 소식이네요.
2019.07.15,"안녕, 나 위풍닭닭이야"
2019.07.15,8000$ 보러간다 팔아라
2019.07.15,홀딩만이 답이 아닌것을 17년도에 배워야 했었다.
2019.07.14,재드래곤 대통령 그 자체 아닌가? 솔까 대단합니다.
2019.07.14,[비트] 아직 반절하락
2019.07.14,성폭력 무혐의 처분이지만 무고죄 유죄도 아니다?
2019.07.13,NO JAPAN
2019.07.12,[속보] '트럼프' 비트코인에 대한 입장 번복
2019.07.11,부모님 아직 밥상을 엎어버릴때가 아닙니다
2019.07.10,이재용 부회장이 일본에서 오지 못하는 이유 같습니다.
2019.07.10,머니넷 관리자 분 안 계신가요?
2019.07.10,영화 대부 보셨나요? 아마 지금까지 나온 영화 중 ...
2019.07.10,이 시국에 일본 수출 규제는 더 심각합니다. 우리나...
2019.07.10,한국일보 사설 미일반도체 밀약에 관해서.. 추가 규...
2019.07.09,일본의 속내
2019.07.09,빅쇼트 영화보면 계속해서 작은 신호들이 나타나고 ...
