날짜,제목
21.04.20,1차 구제 완료 2차 구제 시작
21.04.20,도지로 5천 벌었다. 랄부걸고 추천순서대로 20명 치킨값 보냄
21.04.20,구제 7명가고 코인판접는다
21.04.20,700억 인증) 100명 100만원씩 구제간다
21.04.20,19차구제 간다
21.04.20,2명 보냈다 인증하고 나머지 3명 더 뽑는다ㄱㄱㅋㅋㅋㅋㅋㅋㅋ
21.04.20,빗갤 근황.jpg
21.04.20,형쉬고왔다 18차구제간다
21.04.20,지금까지 10명 구제했다 추천박고 3명 더 해줌
21.04.20,30억형이다 구제간다
21.04.20,17차구제 구제하느라 기진맥진이다 하
21.04.20,딱 3명한테 3억 구제간다
21.04.20,지금까지만 천명은구제했다 더간다
21.04.20,16차구제 인증봤지? 형 구제중독자다
21.04.20,이번달에도 추천 코인 2개주고 떠난다. [과거 수익 인증] Pez케이m.
21.04.20,(잔고인증) 구제 바로간다 얘들아
21.04.20,[찐막11차] 생각보다 사람없어서 구제 더한다 념보내라
21.04.20,15차 구제갑니다 50명 5백씩 인증o
21.04.20,시드 2억을 3백억 만들고 코인생활 졸업이다. 댓글달아라
21.04.20,오전 10명구제 끝 오후 마지막 10명 20씩구제
21.04.20,개추박아라 딱30명 100만원씩 끝 그리고 디시뜬다
21.04.20,17차 마지막))100만 10명만구제하고 뜬다
21.04.20,[8차] 댓글 적으신 몇백분 다 메모장에 옮겼습니다
21.04.20,[7차] 못받은놈들 구제해줄게
21.04.20,[6차] 념보내주면 구제 합니다 1.229 이외에 다 주작
21.04.20,인생이 후달리는 불쌍한 개미들을 위해 구제 들어간다
21.04.20,[4차] 841억 구제 합니다 1.229 아이피 말곤 다 주작
21.04.20,10차 구제갑니다 인증봒죠?
21.04.20,[3차] 831억 구제 들어갑니다
21.04.20,딱 8명 80만원 구제간다 형아까인증한거 봤제? 개추해라
21.04.20,구제 받은 새끼만 인증하는 형이다
21.04.20,돈이썩어나서미치겠다 돈뿌림
21.04.20,화력 약해서 다시 재업합니다 (계좌인증)
21.04.20,하루종일 계좌이체로기부하느라 뒤질거같다
21.04.20,841억좌다 인증했고 추가구제간다
21.04.20,841억 구제해드림
21.04.20,도지 익절 했다 5명 100만원 구제간다
21.04.20,내계좌도용충많네 ㅋ 구제간다 개추박아라 인증
21.04.20,누가 내계좌 도용하냐 ㅅ발 찐주인왔다 구제간다
21.04.20,50명 1천씩 이체완료 추가구제간다
21.04.20,념글 계좌 50명 1천씩
21.04.20,형님듷 400억됬습니다 겜접습니다 돈뿌릴게요
21.04.20,수익인증 돈뿌린다
21.04.20,"구제간다, (수익인증) 념글 안가면 구제안함 추천 ㄱ"
21.04.20,아로와나로먹은 20억 20명한테다쏜다
21.04.20,아로와나20억먹었다 구제간다
21.04.20,개념올려라 돈뿌린다
21.04.20,10명 100만원씩 구제해줬다 확인해라
21.04.20,아로나와로 존나먹었다 100명 구제감
21.04.20,아로나와로 18억 벌었다 1000명 50만원씩 구제간다
21.04.20,구제감 100만원씩 보내줌
21.04.20,아로와나 40억먹었다. 통큰구제간다
21.04.20,아로와나로 18억 벌었다 10명 100만 구제
21.04.20,꼭 사진을 올려야믿더라
21.04.20,아로와나로 50억먹었다 개추박고 계좌남겨라
21.04.20,인증)못참아서 트론익절했다걍 소소하지만 많이는못준다
21.04.20,야로나와로 20억먹엇다
21.04.20,오피갈돈 구제해준다
21.04.20,ㅋㅋ 아로와나로 300배 수익먹었다 미친 ㅋㅋㅋㅋ 구제간다
21.04.20,아로와나로 꽁돈 먹었다 념글 보내라
21.04.20,(인증) 3억형 왔다 100만원 구제간다
21.04.20,황썸 아로와나 채굴로 8만원=>3천만원 됐다. 구제들어간다!!!
21.04.20,구제 10명 5만원씩 갑니다
21.04.20,형 구제간다 계좌 적어라 (30)
21.04.20,☆ 1000억좌 오랜만에 들림 구제하고 간당 ☆
21.04.20,구제한다 200씩 5명 개추 계좌 남기고 가라
21.04.20,"24살 도지로 20억 벌었다, 선착순 50명 10만원씩 구제"
21.04.20,☆100억좌 형들오랜만이야 많이힘들지? 구제하고 뜰께
21.04.20,선착 50명까지 백만원 구제
21.04.20,그냥 도지때문에 장이 좆된거임 봐라
21.04.20,[필독] 7차 전원 구제 완료. 8차 달릴게
21.04.20,긴말안한다 35분댓까지만 구제간다 개념보내놔라
21.04.20,구제합니다.
21.04.20,[필독] 1차 전원 구제 완료. 2차 달릴게
21.04.20,코인판 떠나는 기념 ★ 마지막 구제 ★
21.04.20,빗붕이 유튜브보다 빡쳐서 의자부셨다..
21.04.20,10명 구제 했다. 딱 7명만 쏜다. <<인증>>
21.04.20,일부 익절 기념으로 구제간다
21.04.20,구제갑니다 ))던이랑 도지로 많이 먹었네요
21.04.20,던프로토콜 20억 형이다
21.04.20,■■6억4천 익절하고 떠난다 랜덤 11명 300만원 구제한다■■
21.04.20,[필독] 1차 전원 구제 완료. 2차 달릴게
21.04.20,도지로 번걸로 구제감
21.04.20,진심 빈말않하고 50명 구제간다.
21.04.20,3월 한참 코인 떡상할때 구제해줬던 형이다
21.04.20,소소하게 30명 구제갑니다~
21.04.20,랜덤으로 딱 5명만 200씩 쏜다
21.04.20,4차 ) 마지막구제 들어간다
21.04.20,도지로 꽁돈 벌었네요. 조금 나눠드립니다.
21.04.20,(11)차 구제 들어가요
21.04.20,구제해주러 형이왔다
21.04.20,(4차구제) 손털자 진짜.. 20만원 무작위 20명.
21.04.20,나보다 도지 높은사람 나와바
21.04.20,도지데이고 뭐고 씨발 죽고싶다................jpg
21.04.19,(11차)진짜x2 마지막 구제임 이제 안함
21.04.19,도지로 10억먹고 구제간다
21.04.19,도지 먹고 던프로 시마이ㅆㅆㅆㅆㅆ 10명 50만원씩 쏜다 개추박아
21.04.19,(10차)진짜 마지막 구제임 이젠 안함
21.04.19,도지 찐호재 증거사진 추가
21.04.19,도지 찐호재야 얘들아 던지지말고 이거함봐 도지 공급량 멈춤 레알임
21.04.19,[필독] 8차 전원 구제 완료. 9차 달릴게
21.04.19,9차 전원 구제완료 10차 구제 갑니다
21.04.19,방금 구조대해준 형왔다 2차 구제 들어간다
21.04.19,(인증) 구제해주러왔다 흑우들아
21.04.19,[필독]7차 전원 구제 완료 8차 간다
21.04.19,상문이형이다 ㅇㅇ 4차 구제
21.04.19,[필독] 7차 전원 구제 완료. 8차 달릴게
21.04.19,[필독] 6차 전원 구제 완료. 7차 달릴게
21.04.19,구조해주러 형왔다 계좌랑 은행만 달아라 ㅇㅇ
21.04.19,던프로 10억 먹었다 100씩 50명 구제간다 개추
21.04.19,[필독] 5차 전원 구제 완료. 6차 달릴게
21.04.19,[필독] 4차 전원 구제 완료. 5차 달릴게
21.04.19,상문이형이다 3차 구제 ㅇㅇ
21.04.19,[필독] 3차 전원 구제 완료. 4차 달릴게
21.04.19,[필독] 2차 전원 구제 완료. 3차 달릴게
21.04.19,[필독] 1차 전원 구제 완료. 2차 달릴게
21.04.19,[필독] 1차 전원 구제 완료. 2차 달릴게
21.04.19,도지로 큰돈 벌었습니다 100명 50만원씩 드립니다
21.04.19,이거 진짜 무조건 간다
21.04.19,도지 선구자 구제금융간다 20명선착
21.04.19,도지세력팀중 하나입니다. (필독)
21.04.19,20명 20장씩
21.04.19,구제 들어갑니다
21.04.19,도지로 150억 먹었다 30명 20만원씩 구제감
21.04.19,[05년생 17살] 다섯분 10만원씩 구제갑니다!!
21.04.19,9차 구제완료 10차 달릴게
21.04.19,3억형이야 찐 마지막구제 1명 (인증)
21.04.19,도지로 10억찍고 나눔한다
21.04.19,4차구제완료)도지 13조수익기념 5차구제간다
21.04.19,12차 구제))던프로 31조 먹었다 구조간다...JPG
21.04.19,3차구제완료)도지 13조수익기념 4차구제간다
21.04.19,40억먹었다 구제 40만원씩 가보자
21.04.19,3억형이다 구제간다 (인증)
21.04.19,추첨한명 100만원 구제간다 인증
21.04.19,도지코인 5600만 수익. 선착 20명
21.04.19,도지구제해준다
21.04.19,도지로 6억 수익. 10명 구제
21.04.19,계좌적고 념글보내놔라
21.04.19,"구제 많이받아서,, 저도 구제좀 해볼까합니다 ㅎㅎ!"
21.04.19,도지 8억 ㅆㅆㅆㅆㅆㅆㅆㅆㅆㅆㅆㅆㅆㅆㅆㅆㅆㅆㅅ구제 8명 80
21.04.19,지금 돈잃거나 물린놈들 구제 간다
21.04.19,통큰 구제 간다 씨1발 ㅋㅋㅋ
21.04.19,형들 나 4억범 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 10명구제간다
21.04.19,도지 현금화 완료 구제간다
21.04.19,도지랑 비트코인으로 졸업함 씨발 코인판 뜬다
21.04.19,도지로 졸업했네요.. 통크게 구제 갑니다.
21.04.19,와 나한테도 이런일이!! 소소하게 9억 벌었네요 구제갑니다
21.04.19,구제해준다 념글 보내라
21.04.19,3차구제완료 4차 30명 20만간다
21.04.19,[필독] 120차 전원 구제 완료. 121차 달릴게
21.04.19,3억찍은기념 구제간다
21.04.19,아까 아침에 2700억 도지 인증한 형이다
21.04.19,[필독] 10차 전원 구제 완료. 11차 달릴게
21.04.19,[필독] 9차 전원 구제 완료. 10차 달릴게
21.04.19,도지로 졸업했습니다 20명씩 구제
21.04.19,도지로 졸업했습니다 기념 구제갑니다..
21.04.19,도지로 돈 벌었다 구제간다 50명
21.04.19,도지 500돌파기념 선착순 50명
21.04.19,(인증) 돈 좀 먹었다 구제간다 ㅇㅇ
21.04.19,선착순 20명
21.04.19,(선착 10명) 4천먹었습니다 먹은만큼 배풀게요
21.04.19,8차구제완료 9차 달릴게
21.04.19,시드는 작지만 구제는 크게간다 선착순 100명구제해준다
21.04.19,비토 이사진왜케웃김ㅋㅋㅋㅅㅂ
21.04.19,[필독] 7차 구제 완료. 8차 달릴게
21.04.19,"7차 전원 구제 완료, 8차 구제 마지막이다"
21.04.19,"4차 전원 구제완료, 5차 구제 달릴게"
21.04.19,도지로 14억 벌었다 랜덤10명 5만원 구제
21.04.19,/ 퀀텀 4400> 28200 8억 익절 / 추천 +계좌 12명
21.04.19,도지로 졸업했습니다~ 졸업기념 통크게 100명 가즈아
21.04.19,코인털고나간다 재밌었다 시밯년들아 20명만 딱 구제간다
21.04.19,이시각 나보다 불쌍한 형들 나와봐
21.04.19,정보)중국코인 아무나 타지말고 중국정부주도 bsn에 참여하는 애를 타라.
21.04.19,긴말없이 구제 다섯분.
21.04.19,"구제 10명 200만씩,"
21.04.19,10명 보냈다. 마지막 5명만 시작한다.
21.04.19,이더미니 홍보하고 상장시킨 개벌레 병신새끼 말하는꼬라지 개역겹네 ㅋㅋ
21.04.19,(인증) 구제간다 념글보내
21.04.18,하도 구제 사기 많길래 내가 해줌(인증o)
21.04.18,와우도지 2억 넣어뒀는데 어떡하냐...(인증)
21.04.18,형왔다 념글 보내고 계좌 적어라
21.04.18,와우도지 사기사건에 대해 알아보자
21.04.18,더러운 코인판 졸업한다 12시에 다시 온다
21.04.18,30만원 무작위 3명 드립니다
21.04.18,[구제] 100만원씩 28명 뿌리고 한강간다 칠리즈ㅆㅂ년
21.04.18,돈 꼴은 코린이들 구제간다
21.04.18,구제 5명
21.04.18,구제)손절하고 코인판 빠질려는데 10명 구제해줌
21.04.18,구제)))아무말 없이 개추누르고 계좌달아라
21.04.18,일론머스크 트윗떳다 풀매수 ㄱ
21.04.18,도지 익절 ㅋㅋ 10명 10만원 구제간다
21.04.18,개씨발 모니터부심
21.04.18,[코념요청] 도지코인...이번주..요약...jpg
21.04.18,머스크 형님 도지 트위터 올렸다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
21.04.18,머스크 트위터 조작한 새끼야 (109.70)
21.04.18,이거 방금 뜬 기사인데 도지코인 호재 기사임?
21.04.18,20억 벌었다 ㅋㅋㅋ 50만 10명구제간다
21.04.18,안녕하세요 도지코인 세력입니다.
21.04.18,도지 7억물려있던거 14억으로 탈출 선착순 50명 5만원
21.04.18,2억 딴 기념으로 10만원씩 다 보내준다 ㅅㅂ
21.04.18,코인졸업했다 10명 100만원씩 구제
21.04.17,긴말안한다 적어라
21.04.17,9시 추첨 들어간다 개추 해놔
21.04.17,2차 이벤트 간다 올려놔라
21.04.17,도지로 3억 먹었다 10명 100만원씩 구제간다
21.04.17,진짜 비토로 10억가까이먹었다 구제들어간다 선착순30명
21.04.17,구제) 형이다 주말인데 치킨함뜯자 전원 3만원씩 구제
21.04.17,도지로 잃은애들 댓글 달아라
21.04.17,도지로 번만큼 배푼다. 15명 10만원 념글보내라
21.04.17,어제도왔다 오늘도 구제들어간다.
21.04.17,일런머스크가 있는한 도지는오른다 반박해봐라
21.04.17,선착순 10명 4만원
21.04.17,도지 졸업기념 100명 선착순 20만원
21.04.17,30명만 10만원 구제함.
21.04.17,선착순 30명 200만원
21.04.17,10명 구제간다
21.04.17,11억 3명 마지막 구제
21.04.17,도지로 3000만원 먹음 긴말안함. 10명구제간다
21.04.17,담달 중순 결혼인데 어떡하냐 진짜
21.04.17,념글 보내라 11억 10명 구제
21.04.17,이클형이다 10명 구제 간다
21.04.17,50명 구제 간다 급전 필요한 애들 개추박고 댓 달아라
21.04.17,시아로 5억 벌었다 구제간다
21.04.17,구제)도지 물린새끼들 선착순 20명 3만원씩쏜다
21.04.17,시아코인 평단8원 1050% 먹은기념 물린애들 구제해준다.
21.04.17,구제) 전재산 잃은기념 남은 시드 다 나눔간다
21.04.17,도지에서 큰 돈 벌고 코인턴다 5명 랜덤 구제간다
21.04.17,구제 10명 간다
21.04.17,도지 8억 벌었는데 이제 빼고 구제 갈려고 한다 10명 구제함.jpg
21.04.17,도지로 25억벌고 졸업합니다 오늘도 구제갑니다~
21.04.17,도지 28억 형이다. 다들 힘든 상황인데 20만원씩 50명 구제간다
21.04.17,8차 구제 갈께요 마지막 추첨 50명 20만원씩
21.04.17,2차 나눔 간다 100만원씩 선착순 40명한테 뿌림
21.04.17,도지 풀매수 존버해서 5억 먹었다 졸업 기념 나눔 간다
21.04.17,12억 꺼-억 계좌 남겨라
21.04.17,비체인어캄???
21.04.17,4월 20일이 대체 뭔데
21.04.17,씨발 도지 떨어진거보고 마시던거 던짐
21.04.17,"8차구제 완료, 마지막 9차구제 갈게 [15]"
21.04.17,돈잃어서 잠못자는애들많제? 구제간다
21.04.17,[8차 랜덤 50명] 8차구제 갑니다
21.04.17,머스크 형님 믿고 있었던 사람 개추 ☺
21.04.17,긴말안함. 구제간다
21.04.17,"이클,도지로 잃으신분들 구제갑니다~~~"
21.04.17,선착순 10명 10만원 구제
21.04.17,비체인 나보다 고층 입주자 있냐?
21.04.17,도지 이번 개씹상남자 테스트 버틴사람 개추
21.04.17,(념글시20명구제) 많이는 못먹고 딱 24억먹었다.
21.04.17,한번더 구제들어감 20명 25만원
21.04.17,(념글시 20명구제)업비트 떠나기전 마지막 조언
21.04.17,구제) 이클도지 물린놈들 있냐?
21.04.17,도지로 잃은애들 댓글 달아라 나눔한다
21.04.17,도지로 3.5억범 구제감
21.04.17,선착) 8살 초딩이다. 용돈 5천원 받은거 나눔한다.
21.04.17,도지로 인생역전했다 추천 20명 10만원씩쏜다
21.04.17,도지로 200억 벌었다 50명만 구제간다
21.04.17,념글가면 댓글단사람 전원 구제간다 ㅋㅋㅋㅋ
21.04.17,도지로 120억 벌었다 졸업기념 딱 10명 화끈하게 구제간다
21.04.17,도지로 50억벌었습니다 좋은건 나눠야지요
21.04.17,전재산 2억 도지에 밖고 16억됬다 구제간다.
21.04.16,도지로 90억 먹었다 계좌적고 추천눌러라
21.04.16,도지 10623% 수익 20명 나눔
21.04.16,코린이 도지로 560퍼 수익중 구제준다
21.04.16,도지395에 38억박은놈 이다 구제한다
21.04.16,형이다 도지로 127조 땃다 선착50명 1억씩 구제간다
21.04.16,인증) 도지 32억 익절 했다 선착30명 30만씩 구제간다
21.04.16,도지로 1억먹었다 구제간다
21.04.16,600억) 먹을 만큼 먹었다 딱 30명 구제간다
21.04.16,"도지 수익인증 / 념글시, 40명 구제"
21.04.16,도지코인 1년후 모습
21.04.16,도지로 4억 먹었다 ㄹㅇ 구제간다ㅋㅋㅋㅋㅋㅋㅋㅋ
21.04.16,도지로 12억 벌엇다 50명 100씩 구제
21.04.16,선착순 50명 30만원
21.04.16,40먹고 코인판 뜬다 100만원 30명 ㄱ
21.04.16,도지로 690억먹었다 구제간다
21.04.16,도지로 31억 벌었다 100명 500만원씩 쏜다
21.04.16,도지 30억 벌었다 구제 간다 30명 100씩
21.04.16,얘들아 형왔다 오늘같은 불장에 잃은놈만 와라
21.04.16,도지 못버티고 익절했다 개추박고 계좌 ㄱㄱ
21.04.16,구제)념글가면 10만원 100명 형이다 일단 보내는중임 인증 0
21.04.16,구제)이새기들 개추 안박네 인증 조지고 간다
21.04.16,힘든 새끼 중 진짜 믿을 놈들만 들어와라 7명
21.04.16,도지로 졸업한다 15억 채웠다 개념보내줘 10명 50만씩
21.04.16,도지 310에 19억 익절했다.. 좀 나눠줄게
21.04.16,도지코인 2억 벌엇다 개추시 500씩
21.04.16,도지코인덕에 64억 달성..
21.04.16,도지로 14억먹었다
21.04.16,도지코인 2200억 익절
21.04.16,도지로 14억 매도
21.04.16,30억 벌었다 구제간다
21.04.16,도지로 5억먹었다 추천누르고 계좌적어라
21.04.16,니들이 탄 코인 고점인지 궁금하지?
21.04.16,도지로 많이 먹었다 시원하게 구제간다
21.04.16,도지 380층에 4천 물렸다.. 념이라도 주라..
21.04.16,메디블록으로 40% 손절 난 떠난다 ...현생살러
21.04.16,도지로 90억먹었다 구제90씩 30명간다(개념)
21.04.16,[수익인증] & 구제 들어갑니다. 댓추 박으세요 ㄱㄱ.jpg
21.04.16,도지로 45억 벌고 졸업합니다 50구제갑니다 가즈아
21.04.16,도지 내렸다 21억범 추천이랑계좌 ㄱㄱ 추천인원만큼 300만원준다
21.04.16,넴(심볼) 재단 일본 CBDC관련 극비정보 썰 푼다
21.04.15,3년간 죽고싶었다. 나같은 애들을 위해 100만원씩 30명구제간다
21.04.15,사면떨구고 팔면오르는 새끼들 필독
21.04.15,드디어 80억 넘겼다. 선착순 10명 마지막 구원간다.
21.04.15,어제 엄마랑 한 카톡인데 이거 내가 잘못한거임?
21.04.15,코인 청산당해봤으면 개추 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
21.04.14,도지코인때문에 모니터 부셨다
21.04.14,속보)리플 좆됐다!! cto가 매도하라고 경고!!!!!!!!!!
21.04.14,솔직히 나 캐리 광고충인데 아이피보면 알거야 추천좀 해줘 개념글이라도 좀
21.04.14,시드 340만원 증발당하고 코인판 뜨면서 해주고싶은 조언 2개
21.04.14,■■■■ 마지막 1000만원의 주인공 1명 ^^ 이벤트 끝!!
21.04.14,■■■ 10명 100구제완료... 소소하게 50명더 갑니다 ^^
21.04.14,■■ 리플 이야기가 많아 저는 ..대략 57억 벌고있습니다.
21.04.14,코린이들이 지금 해야할일 알려준다 (필독)
21.04.13,● 20명 5만원씩 쏜다
21.04.13,구제)형왔다 선착순20명 5만원 쏜다
21.04.13,구제)코인 졸업하고 떠난다. 11시 추첨
21.04.13,개추)선착순 50명 구제간다
21.04.13,구제인증글 봤냐? 30명 선착 구제 간다
21.04.13,[인증] 너라도 잘살아라 구제간다
21.04.13,방금리플졸업한다고올린사람입니다. 추가인증들어갑니다
21.04.13,100만 원씩 5명 개추 박아라
21.04.13,코인졸업합니다. 리플 고맙고 가기전에 구제해드릴게요
21.04.13,엠블 처물린새끼들 개추박아봐
21.04.13,오늘 1시 30분 급등코인 정보 입수했다
21.04.13,22살 비트코인 마진하다 자해했다 위로좀
21.04.11,큰돈아닌데 20명만딱구제해줄게
21.04.11,ㅋㅋㅋㅋ킹갓도지) 20명만 딱 나눔하고 코인판 뜬다
21.04.11,-70프로 손절했다.
21.04.11,도지로 2억먹은 기념 3명 구제간다
21.04.11,[구제글]도지 떡상기념 딱 5명 구제갑니다~~
21.04.11,"념요청,나눔)) 제가 큰 돈을 먹은건 아닙니다"
21.04.11,구제)형왔다 선착순20명 5만원 보낸다
21.04.11,2명 방금 보냈어. 오늘 진짜 마지막 구제 10명 간다
21.04.11,5명 마지막으로 보냈다. 추가 구제 더 필요하냐?
21.04.11,5명 보냈다~ 추가 구제 5명 갈게
21.04.11,복귀 기념 소소하게 10명 구제
21.04.11,오늘 -100만원 이상 잃은 사람 개추좀. 심적인 좌절감 ㅠ.ㅠ
21.04.11,4년만에 들어왔는데 머선일이고...!
21.04.11,----------331형왔다 4차시그널 들고왔따
21.04.11,긴말안함. 구제간다
21.04.11,리플 현상황 및 이슈거리.
21.04.11,고층에 물려서 숨도 못쉬고있는애들 봐라
21.04.11,입 아프니까 개추박고 댓 ㄱㄱ
21.04.11,비토 물린사람있냐?오늘밤 30간다
21.04.11,선착순 10명 10만원씩 빠르게구제
21.04.11,소소하게 번거 베품합니다
21.04.11,긴말안함 30명 구제.
21.04.11,댓글 3명 구제 30만원씩 개추 번호 다세여
21.04.11,요즘 돈복사 쉽네요 ) 번 돈 일부 나눔 합니다
21.04.11,본인이 진짜 간절하다하는 20명만 댓 달아봐
21.04.11,구제 딱 30명 해준다
21.04.11,소소하게 10만원 나눔이요 ....
21.04.11,만원씩 40명 보내줌 ㅇㅇ
21.04.11,땃긴 땃는데 난 소인배니까.. 3만원씩 3명만 꼭 줄게
21.04.11,——331형 왔다 다음픽?
21.04.11,■■■ 형이 나눔하는이유.. 개추박고 킹리적갓심 개념보내라
21.04.11,■■□ 떡값좀 쥐어주니까 좋아하노 개추박아라 계속 ㅋㅋㅋㅋ
21.04.11,■■■ 입아프니까 개추박고 댓 당첨자 목록 입니다. ㅊㅋ
21.04.11,■■■■ 입아프니까 개추박고 댓
21.04.11,추천과 계좌 적고가라
21.04.11,리플 익절 11억먹었다 계좌적고 개추눌러 선착50명~~~~~~
21.04.11,☆빗갤 모태 유명인 100억좌 올만에 통.큰 구제간다 개념ㄱ
21.04.11,50씩 10명 구제간다 념글보내놔라
21.04.10,(갤최다인증) 마지막 기회다 5명 구제 간다
21.04.10,20만원씩 10명 구제들어간다
21.04.10,성웅이형이다 념글가야 준다 선착50명 50만원씩
21.04.10,[인증] 비토 풀매수 완료.Jpg
21.04.10,ㅋㅋㅋ비토 병신연기 잘하네 ㅋㅋ분석끝났다
21.04.10,평생 놀 돈 다 모아서 탈갤구제간다
21.04.10,(갤최다인증) 5명 보냈어~ 추가 구제 3명
21.04.10,오후 7시까지 구제 5명 인당 20만원 총 100콩만 뿌린다
21.04.10,(갤최다인증) 10명 보냈다~ 5명 추가 구제
21.04.10,(갤최다인증) 형 왔다~ 오늘도 신나게 10명 구제
21.04.10,인증)형왔다. 통크게 100억 10명 뿌린다.
21.04.10,소소하게 나눔간다
21.04.10,형 졸업한다. 30명까지 간다.
21.04.10,(인증) 이정도면 빗갤상위 몇퍼???
21.04.10,아침 구제 20씩 10명만 간다
21.04.10,나말고 구제 돈 주는새긴 있긴하냐?
21.04.10,진짜 낚시글 보고 답답해서 내가 구제해준다
