날짜,종가,오픈,고가,저가,거래량,변동 %
2020년 07월 01일,97.155,97.375,97.615,96.985,16.05K,-0.20%
2020년 06월 30일,97.349,97.39,97.81,97.185,18.34K,-0.16%
2020년 06월 29일,97.501,97.475,97.61,97.085,13.59K,0.10%
2020년 06월 26일,97.404,97.335,97.665,97.235,10.76K,0.02%
2020년 06월 25일,97.388,97.21,97.585,97.135,16.12K,0.27%
2020년 06월 24일,97.129,96.605,97.205,96.5,18.30K,0.54%
2020년 06월 23일,96.608,96.84,97.215,96.32,21.21K,-0.39%
2020년 06월 22일,96.985,97.63,97.7,96.94,15.16K,-0.61%
2020년 06월 19일,97.577,97.4,97.7,97.115,18.10K,0.18%
2020년 06월 18일,97.4,97.08,97.555,96.93,13.31K,0.26%
2020년 06월 17일,97.144,96.95,97.35,96.765,15.42K,0.22%
2020년 06월 16일,96.933,96.49,97.24,96.385,21.71K,-0.05%
2020년 06월 15일,96.978,97.17,97.385,97.035,0.54K,-0.34%
2020년 06월 12일,97.305,96.835,97.455,96.505,7.39K,0.59%
2020년 06월 11일,96.739,96.145,96.82,95.945,16.97K,0.82%
2020년 06월 10일,95.95,96.445,96.465,95.705,29.44K,-0.39%
2020년 06월 09일,96.321,96.635,97.065,96.215,19.69K,-0.30%
2020년 06월 08일,96.608,96.935,97.065,96.58,19.42K,-0.32%
2020년 06월 05일,96.922,96.765,97.05,96.43,23.99K,0.27%
2020년 06월 04일,96.657,97.32,97.635,96.56,30.71K,-0.62%
2020년 06월 03일,97.259,97.57,97.615,97.155,25.24K,-0.41%
2020년 06월 02일,97.659,97.86,97.9,97.42,15.32K,-0.16%
2020년 06월 01일,97.82,98.265,98.335,97.77,15.02K,-0.53%
2020년 05월 29일,98.341,98.47,98.55,97.935,21.71K,-0.03%
2020년 05월 28일,98.372,98.93,99.095,98.335,25.98K,-0.69%
2020년 05월 27일,99.058,99.01,99.36,98.715,20.95K,0.15%
2020년 05월 26일,98.906,99.76,99.785,98.895,18.17K,-0.98%
2020년 05월 25일,99.888,99.79,99.995,99.7,4.07K,0.00%
2020년 05월 22일,99.888,99.445,99.9,99.4,13.88K,0.49%
2020년 05월 21일,99.403,99.18,99.54,99.03,11.52K,0.27%
2020년 05월 20일,99.135,99.56,99.57,99.005,13.17K,-0.23%
2020년 05월 19일,99.366,99.635,99.755,99.245,18.18K,-0.32%
2020년 05월 18일,99.681,100.435,100.515,99.595,17.63K,-0.75%
2020년 05월 15일,100.434,100.305,100.515,100.095,12.71K,-0.07%
2020년 05월 14일,100.507,100.245,100.605,100.2,13.87K,0.22%
2020년 05월 13일,100.291,100.055,100.325,99.585,14.30K,0.34%
2020년 05월 12일,99.956,100.27,100.51,99.685,12.08K,-0.31%
2020년 05월 11일,100.27,99.86,100.35,99.69,14.20K,0.50%
2020년 05월 08일,99.769,99.84,99.97,99.46,11.06K,-0.14%
2020년 05월 07일,99.906,100.265,100.455,99.825,13.98K,-0.23%
2020년 05월 06일,100.136,99.84,100.265,99.8,8.86K,0.37%
2020년 05월 05일,99.762,99.58,100.07,99.375,12.35K,0.20%
2020년 05월 04일,99.567,99.1,99.655,99.09,14.59K,0.47%
2020년 05월 01일,99.1,99.13,99.225,98.765,12.23K,0.07%
2020년 04월 30일,99.028,99.55,99.8,98.83,26.66K,-0.62%
2020년 04월 29일,99.644,99.935,99.955,99.515,10.39K,-0.29%
2020년 04월 28일,99.934,100.155,100.295,99.485,13.66K,-0.16%
2020년 04월 27일,100.097,100.27,100.37,99.84,11.46K,-0.34%
2020년 04월 24일,100.434,100.615,100.975,100.25,11.91K,-0.10%
2020년 04월 23일,100.535,100.595,100.85,100.12,22.23K,0.01%
2020년 04월 22일,100.528,100.33,100.625,99.99,11.26K,0.15%
2020년 04월 21일,100.374,100.055,100.63,100.03,16.31K,0.32%
2020년 04월 20일,100.058,99.77,100.185,99.75,13.17K,0.22%
2020년 04월 17일,99.836,99.97,100.355,99.66,12.80K,-0.26%
2020년 04월 16일,100.1,99.67,100.39,99.64,13.51K,0.62%
2020년 04월 15일,99.486,98.82,100.06,98.82,15.57K,0.61%
2020년 04월 14일,98.885,99.38,99.435,98.815,11.13K,-0.45%
2020년 04월 13일,99.336,99.495,99.64,99.11,9.03K,-0.17%
2020년 04월 09일,99.504,100.2,100.345,99.31,16.15K,-0.66%
2020년 04월 08일,100.17,99.98,100.51,99.95,11.10K,0.26%
2020년 04월 07일,99.914,100.83,100.83,99.715,15.56K,-0.83%
2020년 04월 06일,100.755,100.865,101.03,100.535,11.18K,0.08%
2020년 04월 03일,100.677,100.305,100.965,100.24,10.32K,0.40%
2020년 04월 02일,100.271,99.625,100.5,99.445,12.72K,0.52%
2020년 04월 01일,99.753,99.025,99.915,98.955,12.13K,0.67%
